15-dic-2025;;;;;;;;;;;;
iShares Global Aerospace & Defence UCITS ETF;;;;;;;;;;;;
Inception Date;01/02/2024;;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;;
Number of Securities;77,00;;;;;;;;;;;
Shares Outstanding;129.545.500,00;;;;;;;;;;;
;;;;;;;;;;;;
Ticker dell'emittente;Nome;Investimento;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
SEK;SEK/USD;FX;Liquidità e/o derivati;FX;73,60;0,00;73,60;654.917,00;1,00;Stati Uniti;--;USD
SGD;SGD/USD;FX;Liquidità e/o derivati;FX;88,55;0,00;88,55;49.260,00;1,00;Stati Uniti;--;USD
AUD;AUD/USD;FX;Liquidità e/o derivati;FX;9,31;0,00;9,31;15.757,00;1,00;Stati Uniti;--;USD
JPY;JPY/USD;FX;Liquidità e/o derivati;FX;20,83;0,00;20,83;704.200,00;1,00;Stati Uniti;--;USD
NOK;NOK/USD;FX;Liquidità e/o derivati;FX;35,19;0,00;35,19;433.038,00;1,00;Stati Uniti;--;USD
QBH6;STOXX 600 INDUS MAR 26;FUTURE;Liquidità e/o derivati;Futures;0,00;0,00;689.441,29;11,00;1.253,53;Unione Europea;Eurex Deutschland;EUR
IXIH6;XAI INDUSTRIAL MAR 26;FUTURE;Liquidità e/o derivati;Futures;0,00;0,00;797.150,00;5,00;1.594,30;--;Chicago Mercantile Exchange;USD
NOK;NOK CASH;CASH;Liquidità e/o derivati;Contanti;-11.500,92;0,00;-11.500,92;-116.544,00;9,87;Norvegia;--;NOK
SEK;SEK CASH;CASH;Liquidità e/o derivati;Contanti;-12.386,90;0,00;-12.386,90;-114.921,00;10,78;Svezia;--;SEK
KRW;KRW CASH;CASH;Liquidità e/o derivati;Contanti;-96.231,54;-0,01;-96.231,54;-141.553.168,00;0,07;Corea;--;KRW
GBP;GBP CASH;CASH;Liquidità e/o derivati;Contanti;-599.957,04;-0,05;-599.957,04;-447.913,00;133,94;Regno unito;--;GBP
EUR;EUR CASH;CASH;Liquidità e/o derivati;Contanti;-1.412.422,76;-0,12;-1.412.422,76;-1.200.785,00;117,62;Unione Europea;--;EUR
