15-dic-2025;;;;;;;;;;;
iShares Core MSCI EM IMI UCITS ETF;;;;;;;;;;;
Inception Date;30/05/2014;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;3.022,00;;;;;;;;;;
Shares Outstanding;709.449.982,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
2886;MEGA FINANCIAL HOLDING LTD;Finanziari;Azionario;44.122.491,34;0,14;44.122.491,34;33.390.986,00;1,32;Taiwan;Taiwan Stock Exchange;TWD
NTPC;NTPC LTD;Imprese di servizi di pubblica utilità;Azionario;44.106.924,07;0,14;44.106.924,07;12.353.717,00;3,57;India;National Stock Exchange Of India;INR
TITAN;TITAN COMPANY LTD;Consumi Discrezionali;Azionario;43.908.041,44;0,13;43.908.041,44;1.030.454,00;42,61;India;National Stock Exchange Of India;INR
600519;KWEICHOW MOUTAI LTD A;Generi di largo consumo;Azionario;43.849.781,01;0,13;43.849.781,01;216.486,00;202,55;Cina;Shanghai Stock Exchange;CNY
2884;E.SUN FINANCIAL HOLDING LTD;Finanziari;Azionario;43.787.421,59;0,13;43.787.421,59;41.622.598,00;1,05;Taiwan;Taiwan Stock Exchange;TWD
1801;INNOVENT BIOLOGICS INC;Salute;Azionario;43.280.925,73;0,13;43.280.925,73;4.120.000,00;10,51;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
6669;WIWYNN CORPORATION CORP;IT;Azionario;43.216.602,64;0,13;43.216.602,64;316.000,00;136,76;Taiwan;Taiwan Stock Exchange;TWD
ULTRACEMCO;ULTRATECH CEMENT LTD;Materiali;Azionario;43.053.152,42;0,13;43.053.152,42;333.081,00;129,26;India;National Stock Exchange Of India;INR
PBBANK;PUBLIC BANK;Finanziari;Azionario;42.787.807,45;0,13;42.787.807,45;38.999.800,00;1,10;Malesia;Bursa Malaysia;MYR
2328;PICC PROPERTY AND CASUALTY LTD H;Finanziari;Azionario;42.786.261,22;0,13;42.786.261,22;19.643.690,00;2,18;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
012330;HYUNDAI MOBIS LTD;Consumi Discrezionali;Azionario;42.765.236,97;0,13;42.765.236,97;172.582,00;247,80;Corea;Korea Exchange (Stock Market);KRW
005490;POSCO;Materiali;Azionario;42.699.074,25;0,13;42.699.074,25;197.512,00;216,18;Corea;Korea Exchange (Stock Market);KRW
