15-dic-2025;;;;;;;;;;;
iShares MSCI USA SRI UCITS ETF;;;;;;;;;;;
Inception Date;11/07/2016;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;151,00;;;;;;;;;;
Shares Outstanding;168.986.462,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
WST;WEST PHARMACEUTICAL SERVICES INC;Salute;Azionario;5.384.731,02;0,14;5.384.731,02;19.807,00;271,86;Stati Uniti;New York Stock Exchange Inc.;USD
IP;INTERNATIONAL PAPER;Materiali;Azionario;5.270.135,20;0,14;5.270.135,20;136.532,00;38,60;Stati Uniti;New York Stock Exchange Inc.;USD
CHRW;CH ROBINSON WORLDWIDE INC;Industriali;Azionario;5.133.515,31;0,14;5.133.515,31;32.571,00;157,61;Stati Uniti;NASDAQ;USD
FTV;FORTIVE CORP;Industriali;Azionario;5.130.225,45;0,14;5.130.225,45;92.687,00;55,35;Stati Uniti;New York Stock Exchange Inc.;USD
ZBH;ZIMMER BIOMET HOLDINGS INC;Salute;Azionario;4.983.825,60;0,13;4.983.825,60;53.920,00;92,43;Stati Uniti;New York Stock Exchange Inc.;USD
GPC;GENUINE PARTS;Consumi Discrezionali;Azionario;4.979.206,77;0,13;4.979.206,77;37.747,00;131,91;Stati Uniti;New York Stock Exchange Inc.;USD
PNR;PENTAIR;Industriali;Azionario;4.720.077,44;0,13;4.720.077,44;44.936,00;105,04;Stati Uniti;New York Stock Exchange Inc.;USD
MKC;MCCORMICK & CO NON-VOTING INC;Generi di largo consumo;Azionario;4.706.553,55;0,13;4.706.553,55;68.759,00;68,45;Stati Uniti;New York Stock Exchange Inc.;USD
APTV;APTIV PLC;Consumi Discrezionali;Azionario;4.570.920,90;0,12;4.570.920,90;59.094,00;77,35;Stati Uniti;New York Stock Exchange Inc.;USD
HOLX;HOLOGIC INC;Salute;Azionario;4.470.271,07;0,12;4.470.271,07;59.453,00;75,19;Stati Uniti;NASDAQ;USD
USD;USD CASH;Liquidità e/o derivati;Contanti;4.430.073,29;0,12;4.430.073,29;4.430.073,00;100,00;Stati Uniti;--;USD
COO;COOPER INC;Salute;Azionario;4.429.280,31;0,12;4.429.280,31;54.327,00;81,53;Stati Uniti;NASDAQ;USD
INCY;INCYTE CORP;Salute;Azionario;4.415.323,68;0,12;4.415.323,68;44.762,00;98,64;Stati Uniti;NASDAQ;USD
J;JACOBS SOLUTIONS INC;Industriali;Azionario;4.409.685,28;0,12;4.409.685,28;32.539,00;135,52;Stati Uniti;New York Stock Exchange Inc.;USD
LII;LENNOX INTERNATIONAL INC;Industriali;Azionario;4.313.354,22;0,12;4.313.354,22;8.694,00;496,13;Stati Uniti;New York Stock Exchange Inc.;USD
RPRX;ROYALTY PHARMA PLC CLASS A;Salute;Azionario;4.293.860,26;0,11;4.293.860,26;111.442,00;38,53;Stati Uniti;NASDAQ;USD
DECK;DECKERS OUTDOOR CORP;Consumi Discrezionali;Azionario;4.186.013,46;0,11;4.186.013,46;40.254,00;103,99;Stati Uniti;New York Stock Exchange Inc.;USD
JBHT;JB HUNT TRANSPORT SERVICES INC;Industriali;Azionario;4.178.054,40;0,11;4.178.054,40;21.144,00;197,60;Stati Uniti;NASDAQ;USD
BBY;BEST BUY INC;Consumi Discrezionali;Azionario;4.004.868,16;0,11;4.004.868,16;54.944,00;72,89;Stati Uniti;New York Stock Exchange Inc.;USD
RIVN;RIVIAN AUTOMOTIVE INC CLASS A;Consumi Discrezionali;Azionario;3.996.751,00;0,11;3.996.751,00;213.730,00;18,70;Stati Uniti;NASDAQ;USD
ICSUAGD;BLK ICS USD LIQ AGENCY DIS;Liquidità e/o derivati;Money Market;3.903.940,29;0,10;3.903.940,29;3.903.940,00;1,00;Irlanda;--;USD
NLY;ANNALY CAPITAL MANAGEMENT REIT INC;Finanziari;Azionario;3.895.738,08;0,10;3.895.738,08;174.228,00;22,36;Stati Uniti;New York Stock Exchange Inc.;USD
DKS;DICKS SPORTING INC;Consumi Discrezionali;Azionario;3.852.370,34;0,10;3.852.370,34;18.187,00;211,82;Stati Uniti;New York Stock Exchange Inc.;USD
ALLE;ALLEGION PLC;Industriali;Azionario;3.744.999,02;0,10;3.744.999,02;22.967,00;163,06;Stati Uniti;New York Stock Exchange Inc.;USD
IEX;IDEX CORP;Industriali;Azionario;3.705.673,22;0,10;3.705.673,22;20.738,00;178,69;Stati Uniti;New York Stock Exchange Inc.;USD
GGG;GRACO INC;Industriali;Azionario;3.696.292,05;0,10;3.696.292,05;43.769,00;84,45;Stati Uniti;New York Stock Exchange Inc.;USD
